Respondent_ID,Age,Current_Status,Field_Of_Study_Work,AI_Impact_On_Field,AI_Usage_During_College,Most_Used_AI_Tools_College,Purpose_Of_AI_College,AI_Helpfulness_Academic_Tasks,AI_Dependence_College,AI_Creativity_Productivity_Boost,AI_Influence_Career_Choice,AI_Job_Opportunity_Increase,Job_Preference_AI_Reliance,AI_Job_Reduction_Perception,Readiness_For_AI_Industry,Willingness_To_Learn_AI,Workplace_AI_Adoption,AI_Work_Efficiency_Increase,AI_Replacing_Human_Work,View_On_AI_In_Workplace,Need_To_Upskill_AI,Job_Survival_Next_10_Years
1,22,Fresh Graduate,"Information Technology / Computer Science","Yes, significantly impacted",Very often,"ChatGPT, Github Copilot / Codeium","Helping understand material, Doing assignments, Coding/programming",5,Yes,5,"Yes, I consider careers related to AI",5,"Relies on AI","No","5 - Very ready","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
2,20,Student,"Economics & Management","Yes, but only partially",Sometimes,"ChatGPT, Google Bard / Gemini","Helping understand material, Searching academic references",3,No,3,"No, AI has no influence on my career choice",3,"No preference, as long as it aligns with my skills","No","3","Maybe","N/A","N/A","N/A","N/A","N/A","N/A"
3,35,"Professional / Already working","Healthcare","Not impacted","N/A","N/A","N/A","N/A","N/A","N/A","No, AI has no influence on my career choice",2,"Does not rely on AI","No","2","No","No","2","No","Neutral","No","Yes"
4,25,"Fresh Graduate","Industrial Engineering / Information Systems","Yes, significantly impacted",Often,"Microsoft Copilot, ChatGPT","Doing assignments, Designing or creating content",4,Yes,4,"Yes, I consider careers related to AI",4,"Relies on AI","No","4","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
5,19,Student,"Information Technology / Computer Science","Yes, significantly impacted",Sometimes,"Google Bard / Gemini, Midjourney","Helping understand material, Coding/programming",4,No,4,"Yes, I consider careers related to AI",4,"Relies on AI","No","4","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
6,42,"Professional / Already working","Law","Not sure","N/A","N/A","N/A","N/A","N/A","N/A","No, AI has no influence on my career choice",1,"Does not rely on AI","Yes","1 - Not ready","No","No","1 - Not increasing","No","Worried - AI threatens jobs","Yes","Not sure"
7,21,Student,"Information Technology / Computer Science","Yes, significantly impacted",Very often,"ChatGPT, Github Copilot / Codeium","Coding/programming, Helping understand material",5,Yes,5,"Yes, I consider careers related to AI",5,"Relies on AI","No","5 - Very ready","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
8,28,"Fresh Graduate","Healthcare","Yes, but only partially",Rarely,"ChatGPT","Searching academic references",2,No,2,"Yes, but I stay on my career path without much consideration for AI",3,"No preference, as long as it aligns with my skills","No","3","Maybe","N/A","N/A","N/A","N/A","N/A","N/A"
9,31,"Professional / Already working","Industrial Engineering / Information Systems","Yes, significantly impacted","N/A","N/A","N/A","N/A","N/A","N/A","Yes, I consider careers related to AI",4,"Relies on AI","No","4","Yes","Yes, but still limited","4","No","Optimistic - AI aids productivity","Yes","Yes"
10,23,Student,"Economics & Management","Yes, but only partially",Sometimes,"Google Bard / Gemini","Helping understand material",3,No,3,"Yes, but I stay on my career path without much consideration for AI",3,"No preference, as long as it aligns with my skills","No","3","Maybe","N/A","N/A","N/A","N/A","N/A","N/A"
11,38,"Professional / Already working","Information Technology / Computer Science","Yes, significantly impacted","N/A","N/A","N/A","N/A","N/A","N/A","Yes, I consider careers related to AI",5,"Relies on AI","No","5 - Very ready","Yes","Yes, very active","5","No","Optimistic - AI aids productivity","Yes","Yes"
12,24,"Fresh Graduate","Law","Not impacted",Never,"None","None",1,No,1,"No, AI has no influence on my career choice",1,"Does not rely on AI","No","1 - Not ready","No","N/A","N/A","N/A","N/A","N/A","N/A"
13,20,Student,"Healthcare","Yes, but only partially",Rarely,"ChatGPT","Searching academic references",2,No,2,"No, AI has no influence on my career choice",2,"No preference, as long as it aligns with my skills","No","2","Maybe","N/A","N/A","N/A","N/A","N/A","N/A"
14,29,"Professional / Already working","Economics & Management","Yes, but only partially","N/A","N/A","N/A","N/A","N/A","N/A","Yes, but I stay on my career path without much consideration for AI",3,"No preference, as long as it aligns with my skills","No","3","Maybe","Yes, but still limited","3","No","Neutral","Yes","Yes"
15,18,Student,"Other: Arts","Not impacted",Never,"None","None",1,No,1,"No, AI has no influence on my career choice",1,"Does not rely on AI","No","1 - Not ready","No","N/A","N/A","N/A","N/A","N/A","N/A"
16,33,"Professional / Already working","Information Technology / Computer Science","Yes, significantly impacted","N/A","N/A","N/A","N/A","N/A","N/A","Yes, I consider careers related to AI",5,"Relies on AI","No","5 - Very ready","Yes","Yes, very active","5","No","Optimistic - AI aids productivity","Yes","Yes"
17,21,Fresh Graduate,"Industrial Engineering / Information Systems","Yes, significantly impacted",Very often,"ChatGPT, Microsoft Copilot, Google Bard / Gemini","Doing assignments, Helping understand material, Designing or creating content",5,Yes,5,"Yes, I consider careers related to AI",5,"Relies on AI","No","5 - Very ready","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
18,45,"Professional / Already working","Healthcare","Yes, but only partially","N/A","N/A","N/A","N/A","N/A","N/A","Yes, but I stay on my career path without much consideration for AI",3,"No preference, as long as it aligns with my skills","No","3","Maybe","Yes, but still limited","3","No","Neutral","No","Yes"
19,20,Student,"Law","Not impacted",Never,"None","None",1,No,1,"No, AI has no influence on my career choice",1,"Does not rely on AI","No","1 - Not ready","No","N/A","N/A","N/A","N/A","N/A","N/A"
20,26,"Fresh Graduate","Economics & Management","Yes, but only partially",Sometimes,"ChatGPT","Helping understand material, Searching academic references",3,No,3,"No, AI has no influence on my career choice",3,"No preference, as long as it aligns with my skills","No","3","Maybe","N/A","N/A","N/A","N/A","N/A","N/A"
21,30,"Professional / Already working","Other: Marketing","Yes, significantly impacted","N/A","N/A","N/A","N/A","N/A","N/A","Yes, I consider careers related to AI",4,"Relies on AI","No","4","Yes","Yes, very active","4","No","Optimistic - AI aids productivity","Yes","Yes"
22,23,Student,"Information Technology / Computer Science","Yes, significantly impacted",Very often,"ChatGPT, Github Copilot / Codeium","Coding/programming, Doing assignments",5,Yes,5,"Yes, I consider careers related to AI",5,"Relies on AI","No","5 - Very ready","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
23,37,"Professional / Already working","Law","Not sure","N/A","N/A","N/A","N/A","N/A","N/A","No, AI has no influence on my career choice",2,"Does not rely on AI","Yes","2","No","No","2","No","Worried - AI threatens jobs","Yes","Not sure"
24,24,"Fresh Graduate","Healthcare","Yes, but only partially",Rarely,"ChatGPT","Searching academic references",2,No,2,"Yes, but I stay on my career path without much consideration for AI",3,"No preference, as long as it aligns with my skills","No","3","Maybe","N/A","N/A","N/A","N/A","N/A","N/A"
25,48,"Professional / Already working","Economics & Management","Yes, but only partially","N/A","N/A","N/A","N/A","N/A","N/A","Yes, but I stay on my career path without much consideration for AI",3,"No preference, as long as it aligns with my skills","No","3","Maybe","Yes, but still limited","3","No","Neutral","No","Yes"
26,19,Student,"Industrial Engineering / Information Systems","Yes, significantly impacted",Often,"ChatGPT, Microsoft Copilot","Helping understand material, Doing assignments",4,No,4,"Yes, I consider careers related to AI",4,"Relies on AI","No","4","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
27,32,"Professional / Already working","Other: Design","Yes, significantly impacted","N/A","N/A","N/A","N/A","N/A","N/A","Yes, I consider careers related to AI",4,"Relies on AI","No","4","Yes","Yes, very active","4","No","Optimistic - AI aids productivity","Yes","Yes"
28,26,"Fresh Graduate","Information Technology / Computer Science","Yes, significantly impacted",Very often,"ChatGPT, Github Copilot / Codeium, Microsoft Copilot","Coding/programming, Doing assignments, Designing or creating content",5,Yes,5,"Yes, I consider careers related to AI",5,"Relies on AI","No","5 - Very ready","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
29,40,"Professional / Already working","Healthcare","Not impacted","N/A","N/A","N/A","N/A","N/A","N/A","No, AI has no influence on my career choice",1,"Does not rely on AI","No","1 - Not ready","No","No","1 - Not increasing","No","Neutral","No","Yes"
30,22,Student,"Law","Not impacted",Never,"None","None",1,No,1,"No, AI has no influence on my career choice",1,"Does not rely on AI","No","1 - Not ready","No","N/A","N/A","N/A","N/A","N/A","N/A"
31,39,"Professional / Already working","Information Technology / Computer Science","Yes, significantly impacted","N/A","N/A","N/A","N/A","N/A","N/A","Yes, I consider careers related to AI",5,"Relies on AI","No","5 - Very ready","Yes","Yes, very active","5","No","Optimistic - AI aids productivity","Yes","Yes"
32,20,Student,"Economics & Management","Yes, but only partially",Sometimes,"Google Bard / Gemini","Helping understand material",3,No,3,"Yes, but I stay on my career path without much consideration for AI",3,"No preference, as long as it aligns with my skills","No","3","Maybe","N/A","N/A","N/A","N/A","N/A","N/A"
33,34,"Professional / Already working","Industrial Engineering / Information Systems","Yes, significantly impacted","N/A","N/A","N/A","N/A","N/A","N/A","Yes, I consider careers related to AI",4,"Relies on AI","No","4","Yes","Yes, but still limited","4","No","Optimistic - AI aids productivity","Yes","Yes"
34,25,"Fresh Graduate","Healthcare","Yes, but only partially",Rarely,"ChatGPT","Searching academic references",2,No,2,"No, AI has no influence on my career choice",2,"No preference, as long as it aligns with my skills","No","2","Maybe","N/A","N/A","N/A","N/A","N/A","N/A"
35,41,"Professional / Already working","Law","Not sure","N/A","N/A","N/A","N/A","N/A","N/A","No, AI has no influence on my career choice",1,"Does not rely on AI","Yes","1 - Not ready","No","No","1 - Not increasing","No","Worried - AI threatens jobs","Yes","No"
36,18,Student,"Other: Hospitality","Not impacted",Never,"None","None",1,No,1,"No, AI has no influence on my career choice",1,"Does not rely on AI","No","1 - Not ready","No","N/A","N/A","N/A","N/A","N/A","N/A"
37,23,Fresh Graduate,"Information Technology / Computer Science","Yes, significantly impacted",Very often,"ChatGPT, Github Copilot / Codeium","Coding/programming, Doing assignments",5,Yes,5,"Yes, I consider careers related to AI",5,"Relies on AI","No","5 - Very ready","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
38,36,"Professional / Already working","Healthcare","Yes, but only partially","N/A","N/A","N/A","N/A","N/A","N/A","Yes, but I stay on my career path without much consideration for AI",3,"No preference, as long as it aligns with my skills","No","3","Maybe","Yes, but still limited","3","No","Neutral","No","Yes"
39,21,Student,"Economics & Management","Yes, but only partially",Sometimes,"ChatGPT","Helping understand material, Searching academic references",3,No,3,"No, AI has no influence on my career choice",3,"No preference, as long as it aligns with my skills","No","3","Maybe","N/A","N/A","N/A","N/A","N/A","N/A"
40,29,"Professional / Already working","Industrial Engineering / Information Systems","Yes, significantly impacted","N/A","N/A","N/A","N/A","N/A","N/A","Yes, I consider careers related to AI",4,"Relies on AI","No","4","Yes","Yes, but still limited","4","No","Optimistic - AI aids productivity","Yes","Yes"
41,43,"Professional / Already working","Law","Not sure","N/A","N/A","N/A","N/A","N/A","N/A","No, AI has no influence on my career choice",2,"Does not rely on AI","Yes","2","No","No","2","No","Worried - AI threatens jobs","Yes","Not sure"
42,24,"Fresh Graduate","Other: Media Studies","Yes, but only partially",Sometimes,"Midjourney, ChatGPT","Designing or creating content",3,No,3,"Yes, but I stay on my career path without much consideration for AI",3,"No preference, as long as it aligns with my skills","No","3","Maybe","N/A","N/A","N/A","N/A","N/A","N/A"
43,20,Student,"Information Technology / Computer Science","Yes, significantly impacted",Very often,"Github Copilot / Codeium, ChatGPT","Coding/programming, Helping understand material",5,Yes,5,"Yes, I consider careers related to AI",5,"Relies on AI","No","5 - Very ready","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
44,38,"Professional / Already working","Healthcare","Not impacted","N/A","N/A","N/A","N/A","N/A","N/A","No, AI has no influence on my career choice",1,"Does not rely on AI","No","1 - Not ready","No","No","1 - Not increasing","No","Neutral","No","Yes"
45,26,"Fresh Graduate","Economics & Management","Yes, but only partially",Rarely,"ChatGPT","Helping understand material",2,No,2,"No, AI has no influence on my career choice",2,"No preference, as long as it aligns with my skills","No","2","Maybe","N/A","N/A","N/A","N/A","N/A","N/A"
46,31,"Professional / Already working","Other: Finance","Yes, significantly impacted","N/A","N/A","N/A","N/A","N/A","N/A","Yes, I consider careers related to AI",4,"Relies on AI","No","4","Yes","Yes, very active","4","No","Optimistic - AI aids productivity","Yes","Yes"
47,19,Student,"Law","Not impacted",Never,"None","None",1,No,1,"No, AI has no influence on my career choice",1,"Does not rely on AI","No","1 - Not ready","No","N/A","N/A","N/A","N/A","N/A","N/A"
48,22,"Fresh Graduate","Industrial Engineering / Information Systems","Yes, significantly impacted",Often,"Microsoft Copilot, Google Bard / Gemini","Doing assignments, Helping understand material",4,No,4,"Yes, I consider careers related to AI",4,"Relies on AI","No","4","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
49,35,"Professional / Already working","Information Technology / Computer Science","Yes, significantly impacted","N/A","N/A","N/A","N/A","N/A","N/A","Yes, I consider careers related to AI",5,"Relies on AI","No","5 - Very ready","Yes","Yes, very active","5","No","Optimistic - AI aids productivity","Yes","Yes"
50,20,Student,"Healthcare","Yes, but only partially",Sometimes,"ChatGPT","Searching academic references",3,No,3,"Yes, but I stay on my career path without much consideration for AI",3,"No preference, as long as it aligns with my skills","No","3","Maybe","N/A","N/A","N/A","N/A","N/A","N/A"
51,46,"Professional / Already working","Law","Not sure","N/A","N/A","N/A","N/A","N/A","N/A","No, AI has no influence on my career choice",2,"Does not rely on AI","Yes","2","No","No","2","No","Worried - AI threatens jobs","Yes","Not sure"
52,27,"Fresh Graduate","Information Technology / Computer Science","Yes, significantly impacted",Very often,"ChatGPT, Github Copilot / Codeium","Coding/programming, Doing assignments",5,Yes,5,"Yes, I consider careers related to AI",5,"Relies on AI","No","5 - Very ready","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
53,30,"Professional / Already working","Economics & Management","Yes, but only partially","N/A","N/A","N/A","N/A","N/A","N/A","Yes, but I stay on my career path without much consideration for AI",3,"No preference, as long as it aligns with my skills","No","3","Maybe","Yes, but still limited","3","No","Neutral","Yes","Yes"
54,21,Student,"Other: Architecture","Yes, significantly impacted",Often,"Midjourney, ChatGPT","Designing or creating content",4,No,4,"Yes, I consider careers related to AI",4,"Relies on AI","No","4","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
55,40,"Professional / Already working","Healthcare","Not impacted","N/A","N/A","N/A","N/A","N/A","N/A","No, AI has no influence on my career choice",1,"Does not rely on AI","No","1 - Not ready","No","No","1 - Not increasing","No","Neutral","No","Yes"
56,23,"Fresh Graduate","Economics & Management","Yes, but only partially",Sometimes,"ChatGPT","Helping understand material, Searching academic references",3,No,3,"No, AI has no influence on my career choice",3,"No preference, as long as it aligns with my skills","No","3","Maybe","N/A","N/A","N/A","N/A","N/A","N/A"
57,33,"Professional / Already working","Information Technology / Computer Science","Yes, significantly impacted","N/A","N/A","N/A","N/A","N/A","N/A","Yes, I consider careers related to AI",5,"Relies on AI","No","5 - Very ready","Yes","Yes, very active","5","No","Optimistic - AI aids productivity","Yes","Yes"
58,19,Student,"Law","Not impacted",Never,"None","None",1,No,1,"No, AI has no influence on my career choice",1,"Does not rely on AI","No","1 - Not ready","No","N/A","N/A","N/A","N/A","N/A","N/A"
59,28,"Fresh Graduate","Industrial Engineering / Information Systems","Yes, significantly impacted",Often,"Microsoft Copilot, Google Bard / Gemini","Doing assignments, Helping understand material",4,No,4,"Yes, I consider careers related to AI",4,"Relies on AI","No","4","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
60,45,"Professional / Already working","Healthcare","Yes, but only partially","N/A","N/A","N/A","N/A","N/A","N/A","Yes, but I stay on my career path without much consideration for AI",3,"No preference, as long as it aligns with my skills","No","3","Maybe","Yes, but still limited","3","No","Neutral","No","Yes"
61,22,Student,"Information Technology / Computer Science","Yes, significantly impacted",Very often,"ChatGPT, Github Copilot / Codeium","Coding/programming, Doing assignments",5,Yes,5,"Yes, I consider careers related to AI",5,"Relies on AI","No","5 - Very ready","Yes","N/A","N/A","N/A","N/A","N/A","N/A"
62,37,"Professional / Already working","Law","Not sure","N/A","N/A","N/A","N/A","N/A","N/A","No, AI has no influence on my career choice",2,"Does not rely on AI","Yes","2","No","No","2","No","Worried - AI threatens jobs","Yes","Not sure"
